shot_index,cavity_alias,machine_alias,mould_alias,material_alias,lot_alias,phase,fill_time_s,transfer_position_mm,transfer_pressure_mpa,cushion_mm,recovery_time_s,cycle_time_s,tcu_supply_c,tcu_return_c,tcu_flow_lpm,resin_moisture_ppm,hot_runner_actual_c,part_mass_g,dimension_value,dimension_unit,quality_result,defect_alias,intervention_code
1,cavity-01,machine-01,mould-01,material-01,lot-01,baseline,1.02,12.4,61.0,4.2,7.8,24.1,28.0,29.1,8.4,180,215,18.52,24.98,mm,pass,,
2,cavity-01,machine-01,mould-01,material-01,lot-01,baseline,1.01,12.5,60.8,4.3,7.9,24.0,28.0,29.0,8.5,182,215,18.50,24.99,mm,pass,,
3,cavity-01,machine-01,mould-01,material-01,lot-01,fault,1.18,11.7,67.4,3.2,8.5,24.8,28.1,30.3,7.6,181,216,18.18,24.72,mm,fail,defect-01,
4,cavity-01,machine-01,mould-01,material-01,lot-01,fault,1.21,11.6,68.1,3.0,8.7,25.0,28.2,30.6,7.4,180,216,18.12,24.69,mm,fail,defect-01,
5,cavity-01,machine-01,mould-01,material-01,lot-01,test,1.11,12.0,64.2,3.7,8.2,24.5,28.1,29.8,8.0,179,215,18.31,24.84,mm,fail,defect-01,intervention-01
6,cavity-01,machine-01,mould-01,material-01,lot-01,test,1.07,12.2,62.7,3.9,8.0,24.3,28.0,29.5,8.2,179,215,18.39,24.90,mm,pass,,intervention-01
7,cavity-01,machine-01,mould-01,material-01,lot-01,recovery,1.04,12.3,61.7,4.1,7.9,24.2,28.0,29.2,8.4,181,215,18.47,24.96,mm,pass,,
8,cavity-01,machine-01,mould-01,material-01,lot-01,recovery,1.03,12.4,61.2,4.2,7.9,24.1,28.0,29.1,8.4,181,215,18.49,24.98,mm,pass,,
9,cavity-01,machine-01,mould-01,material-01,lot-01,verification,1.02,12.4,61.0,4.2,7.8,24.1,28.0,29.1,8.5,181,215,18.51,24.99,mm,pass,,
10,cavity-01,machine-01,mould-01,material-01,lot-01,verification,1.01,12.5,60.9,4.3,7.8,24.0,28.0,29.0,8.5,180,215,18.52,25.00,mm,pass,,
